PMDN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(42-2015) Konstruksi bangunan sipil,,,,,,,,,,"23,984.0",,,,,,,,"39,919.1",,,50.0,,"1,090,000.0","3,088,771.1","4,546,272.6","7,775,575.7","7,841,290.6","19,130,014.5","21,211,443.3","35,760,897.5","45,312,741.6"
(43-2015) Konstruksi khusus,,,,,,,,,,,,,"369,536.6",,,,,"3,625.7",,"1,354.0",,,"5,000.0",0.0,"2,990.0","25,696.5","24,573.0",646.0,560.0,"4,255,501.9","1,837,551.0"
"(45-2015) Perdagangan, reparasi dan perawatan mobil dan sepeda motor",,,,,,,,,,,,,,,,"9,313.1",,,,"51,500.0",,,,500.0,,"29,731.0","92,832.5","78,072.8","249,795.8","1,953,240.1","489,220.5"
"(46-2015) Perdagangan besar, bukan mobil dan sepeda motor",,,339.9,,,"60,115.9","12,400.0",,"19,778.0","68,738.5",128.0,400.0,,"1,200.0","1,865.0","81,789.5","240,660.0","139,833.5","537,213.5","2,250,918.0","1,136,272.9","177,348.2","23,260.3","251,968.3","27,980.5","366,355.5","1,146,117.9","793,411.3","1,217,212.7","5,063,484.5","7,887,026.9"
"(47-2015) Perdagangan eceran, bukan mobil dan motor",,"27,144.3",,"6,380.6",,"48,600.0",,"9,559.0","9,505.6","22,000.0",,195.0,"83,400.0",,,,"18,305.4","15,925.8","33,900.0","28,750.0","23,166.7","43,500.0","131,300.0","57,136.6","116,063.0","297,642.1","2,249,115.9","1,045,218.2","921,427.2","3,151,624.1","3,836,520.0"
(52-2015) Pergudangan dan aktivitas penunjang angkutan,"5,860.9","63,438.2",,,,"34,095.1","6,868.0","764,825.2","38,412.7","110,608.0","9,012.9","70,514.7","31,234.6","60,851.2",,"74,942.7","232,880.3","101,502.5",,"70,824.5","983,464.0","422,465.2","1,181,724.1","5,831,245.2","2,848,171.3","5,656,926.7","12,397,709.8","13,771,544.1","25,543,795.9","17,250,141.3","44,440,466.6"
(49-2015) Angkutan darat dan angkutan melalui saluran pipa,"22,169.8","70,940.4","13,494.3","6,549.1","121,923.6","55,605.9","64,440.5","33,311.8","107,615.7","27,975.0","64,978.1","130,389.8",,,"5,328.0","11,585.8","38,290.0","77,067.0",,,,,,"83,848.8","30,784.5","95,797.1","3,654,944.4","2,723,517.7","3,744,586.5","2,911,289.2","580,701.0"
(50-2015) Angkutan perairan,,,,,"126,476.0",,"116,361.4","43,278.0",,,"13,406.5",,"2,932,340.1",,"6,447.0",,,"65,278.8",,"304,524.3","1,404,320.0","20,061.9","109,773.7","1,554,424.4","274,796.3","396,041.2","80,329.7","159,544.9","301,303.5","10,486,960.7","3,344,603.1"
(51-2015) Angkutan udara,"3,943.2",,,,,"30,796.0","1,083,499.9",,,,,,,,,"49,000.0",,,"88,134.7","21,250.8",,,"1,003.7","17,043.8","2,798,488.5",0.0,,0.0,839.6,"42,311.7","2,347,268.6"
(56-2015) Penyediaan makanan dan minuman,,"5,180.7",,"1,240.5","2,262.2","1,299.3","2,854.1","20,171.7","5,814.0","15,825.0",,,,,,"2,664.2",,,,"17,741.0",,"205,470.1","248,860.4",491.1,"63,561.0","31,522.1","51,912.6","17,882.9","133,918.5","2,181,090.9","886,335.2"
(55-2015) Penyediaan akomodasi,"132,408.2","532,817.6","90,754.6","24,245.6","335,724.4","250,624.4","603,976.7","1,098,734.7","1,115,411.5","582,098.4","886,908.9","882,872.9","47,149.8","68,063.0","75,549.8","19,040.0","180,168.0","95,944.0","238,623.9","279,651.4","306,894.7","180,265.2","612,391.8","384,187.8","247,863.7","3,485,806.5","1,327,816.7","3,157,537.6","6,057,825.2","9,955,056.9","6,128,900.0"
(60-2015) Aktivitas penyiaran dan pemrograman,,"294,129.2",,,,,"231,193.7",,,"49,932.4",,,,,,"42,581.5",800.0,"395,014.6",,,"764,226.6","477,755.1","525,636.7","27,229.0","74,224.0","6,905.1",11.7,"3,264.7","25,279.8","2,447,691.6","1,535,144.9"
(61-2015) Telekomunikasi,,,,,"108,135.3","10,674.2","224,471.0","330,816.0","1,833.0",,"70,938.2","1,300.0","20,588.8","27,343.7",,"431,953.1","543,112.9",,,"370,033.8","2,913,200.3","4,945,373.3","2,410,480.5","2,679,559.7","2,903,012.5","11,149,062.5","8,312,160.5","8,469,693.4","14,202,054.1","13,861,944.4","9,669,056.6"
(58-2015) Aktivitas penerbitan,,,183.2,,"2,375.3",,"22,449.9",,"2,130.0","4,280.7","21,043.7",,,,,,"1,771.8","44,810.0","46,050.0","141,396.5",,"1,588,626.7","55,583.9",,"35,955.0",,,990.0,0.0,"83,779.5","178,578.9"
"(64-2015) Aktivitas jasa keuangan, bukan asuransi dan dana pensiun",,,,,,,,,,,,,,,,,,,,,,,,,,270.0,371.0,"2,211.9",667.8,"59,522.2","82,779.3"
(68-2015) Real estat,,"50,120.6","299,297.3","4,531.0","34,736.7","101,841.0","157,788.0","957,740.4","607,266.9",,"124,239.9","915,145.3","23,633.9",,,"3,007.7",,,"24,928.8","118,700.0","199,650.9","728,609.6","57,988.9","1,647,837.2","9,598,141.7","5,885,321.2","8,550,628.7","14,283,145.0","9,436,471.2","13,649,949.9","29,142,658.6"
"(62-2015) Aktivitas pemrograman, konsultasi komputer dan kegiatan ybdi",,,,"20,792.0",,,,,,,,,,,,,,"2,000.0","2,000.0",500.0,0.0,0.0,,,0.0,0.0,0.1,"22,060.0",955.0,"25,741.2","66,951.6"
(63-2015) Aktivitas jasa informasi,,,,,,,,"50,209.0",,,,,,,"25,000.0",,"1,163,882.2",,,,,,,,,,0.0,0.0,0.0,"50,087.4","572,448.9"
(70-2015) Aktivitas kantor pusat dan konsultasi manajemen,,,,"5,400.0",,,,,,,,,,,,,,"352,212.0",,"2,500.0",,,"212,350.1","11,232.1",0.0,0.0,860.2,"51,387.6","81,627.8","803,696.0","618,789.4"
(71-2015) Aktivitas arsitektur dan keinsinyuran; analisis dan uji teknis,"4,548.1",,,,"2,980.6",,,"1,129.9",,,,,,,500.0,,,,591.0,"7,967.0","160,122.5",,,"16,000.0",,"6,121.8","7,106.5","7,233.9","3,099.3","92,443.3","253,869.0"
"(79-2015) Aktivitas agen perjalanan, penyelenggara tur dan jasa reservasi lainnya",681.9,"1,233.9","1,255.0","3,776.8","8,009.4","7,752.7","14,288.7","4,332.5","18,511.6","3,062.9","4,140.2","1,167.7",119.0,803.0,720.0,"10,400.0","5,487.0",250.0,600.0,,"1,314,674.4","5,269.9","350,988.5",550.0,,"1,075.4","15,840.5",807.3,"7,788.8","13,693.4","15,170.1"
(78-2015) Aktivitas ketenagakerjaan,,,,,,,,,,,,,,,,,,,,,"22,950.0",500.0,,,,"1,909.6",780.0,"8,550.0","6,131.4","61,294.9","192,435.1"
