PMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"(82-2015) Aktivitas administrasi kantor, aktivitas penunjang kantor dan aktivitas penunjang usaha lainnya",,,,,,,,,,,,124394.60,,1658.90,,5634.20,300.00,800.00,,,186479.00,250.00,290.00,3824.60,2992.90,13013.30,21171.10,6004.10,30419.20,3003.40,9523.40
(87-2015) Aktivitas sosial di dalam panti,,,,,,,,,,,,,1200.00,,,,,,,,,,,,345.50,898.90,,0.00,,,123.20
(96-2015) Aktivitas jasa perorangan lainnya,,,,,,,,,,,,,,,,,600.00,,,,0.00,0.00,0.00,744.50,377.40,797.00,2028.60,23856.90,480.30,3066.60,3866.20
(95-2015) Reparasi komputer dan barang keperluan pribadi dan perlengkapan rumah tangga,,,,,,,,,,,819.00,316.00,11858.50,645.10,340.50,5693.40,,,,895.00,61.10,989.30,30.70,21.60,0.00,200.00,802.20,79.70,16.40,19.40,556.20
"(74-2015) Aktivitas profesional, ilmiah dan teknis lainnya",,860.10,,,1704.80,67.20,7166.90,3846.00,4260.80,5598.20,6581.70,10674.60,11248.90,6032.00,23214.40,131158.90,30756.40,11410.50,33682.80,103832.00,153388.80,116944.10,36208.30,25456.50,11434.60,10274.90,19213.60,4150.30,5979.50,5318.60,12539.80
(77-2015) Aktivitas penyewaan dan sewa guna usaha tanpa hak opsi,,,,,5199.60,,10961.00,,2559.00,3287.60,,517.90,2302.00,600.00,19885.30,4780.90,3897.40,2610.70,15627.60,2280.00,660.00,843.20,741.70,0.00,1329.00,1096.10,5412.60,150.00,10136.40,27178.30,10838.70
(78-2015) Aktivitas ketenagakerjaan,,,,,,,,,,,235.20,,,,,,,956.70,108.70,245.00,10.00,250.00,635.90,0.00,1047.40,784.00,929.90,2404.00,892.50,953.30,2164.40
(73-2015) Periklanan dan penelitian pasar,,,,,,,,,,,121.10,,,0.00,448.00,255.00,225.20,274.20,2110.20,,,143.40,23.90,914.50,867.70,1086.90,1852.00,12241.60,8970.40,2877.10,1489.30
(72-2015) Penelitian dan pengembangan ilmu pengetahuan,,,,5974.20,,,,,,410.00,300.00,,,,100.00,50.00,,915.70,,,,1147.50,,778.70,3076.30,0.00,385.90,210.00,0.00,0.40,2191.60
"(90-2015) Aktivitas hiburan, kesenian dan kreativitas",,,,,,,,,,,,,,,,,,,,,,200.00,,2320.00,200.00,25.00,750.00,17.70,50.00,239.40,42.40
(81-2015) Aktivitas penyedia jasa untuk gedung dan pertamanan,,,,,,,,25902.00,552.10,,1738.00,,,,,,,,,1869.40,28.00,0.00,40.00,,138.00,0.00,700.00,,0.00,85.40,372.50
"(64-2015) Aktivitas jasa keuangan, bukan asuransi dan dana pensiun",,,,,,,,,,,945.40,,,,,,,,,5189.20,,0.00,,0.00,,1388.80,9419.30,,0.00,52.80,51.90
"(66-2015) Aktivitas penunjang jasa keuangan, asuransi dan dana pensiun",,,,,,,,,,,,,,,,,,,,,,0.00,641.10,0.00,,,4.00,0.00,,6.70,37.80
(69-2015) Aktivitas hukum dan akuntansi,,,,,,,,,,,,,,,,,,,,199.00,,,,,100.00,,,0.00,,15.50,27.10
(94-2015) Aktivitas keanggotaan organisasi,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,0.30
(80-2015) Aktivitas keamanan dan penyelidikan,,,,,,,,,,,,,,,,,,,,,,,55.60,52.10,238.10,640.00,0.00,825.90,0.00,0.00,378.70
(75-2015) Aktivitas kesehatan hewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90
(88-2015) Aktivitas sosial di luar panti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
"(84-2015) Administrasi pemerintahan, pertahanan dan jaminan sosial wajib",,,,,,,,,1710.00,,,,,,,,,,,,,,,,20476.20,,,,0.00,0.00,0.00
(39-2015) Aktivitas remediasi dan pengelolaan sampah lainnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Total(Nama KBLI),635088.30,702415.20,4183899.40,1495750.20,12938619.70,5516376.50,3899118.00,33425685.50,5411459.30,32719254.60,8503252.40,7406668.60,1931297.50,4306876.30,2645474.40,7682454.20,4311524.00,8633700.50,14392287.50,11028321.60,11781332.50,13982725.90,17585388.90,20382730.50,20103214.10,20502825.20,20093750.80,20617167.40,19901751.90,21188049.20,20928448.20
