Year,Reporter,Reporter ISO,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
2012,Kazakhstan,KAZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1737400,1643360
2013,Kazakhstan,KAZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1959467,2416415
2014,Kazakhstan,KAZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2306882,2379109
2015,Kazakhstan,KAZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1360779,1352592
2011,Kazakhstan,KAZ,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,2490600,2276300
2013,Jordan,JOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,800,21955
2014,Jordan,JOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,27020,25508
2011,Jordan,JOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,60000,20972
2015,Kenya,KEN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1067,6882
2013,Kenya,KEN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,12465,79807
2012,Rep. of Korea,KOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,2887555,9606146
2013,Rep. of Korea,KOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,7898096,7568772
2014,Rep. of Korea,KOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,4573606,9429763
2015,Rep. of Korea,KOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,3776910,12324184
2011,Rep. of Korea,KOR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,187268,2373910
2014,Kuwait,KWT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1493,11623
2015,Kuwait,KWT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,299,21543
2011,Kuwait,KWT,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,708,1609
